,acousticness
1971,0.141
1972,0.0423
1973,0.00135
1974,0.000204
1975,8.67E-05
1976,0.000102
1977,0.0707
1978,0.17
1979,0.342
1980,0.00574
1981,0.181
1982,0.00194
1983,0.626
1984,0.119
1985,0.00701
1986,0.00173
1987,0.0283
1988,8.39E-05
1989,0.000797
1990,0.00059
1991,0.000366
1992,0.00749
1993,0.0019
1994,0.51
1995,0.0202
1996,0.00363
1997,0.00087
1998,0.0316
1999,0.00499
2000,0.0935
2001,0.00262
2002,0.0301
2003,0.000461
2004,0.0969
2005,0.0216
2006,0.178
2007,0.00217
2008,0.0541
2009,0.00499
2010,0.00231
2011,0.000586
2012,0.00106
2013,0.0877
2014,0.00857
2015,0.00164
2016,0.00281
